t[s],U_A,U_B
-9.85559093,0.17517620,0.88808860
-9.85425693,0.17517620,0.89266650
-9.85292293,0.17517620,0.89571830
-9.85158893,0.17517620,0.89877010
-9.85025493,0.17517620,0.90334780
-9.84892093,0.17517620,0.90639970
-9.84758693,0.17517620,0.90945160
-9.84625293,0.17517620,0.91402940
-9.84491893,0.17517620,0.91708120
-9.84358493,0.17517620,0.92013310
-9.84225093,0.17517620,0.92318490
-9.84091693,0.17517620,0.92776270
-9.83958293,0.17517620,0.93081450
-9.83824893,0.17517620,0.93386640
-9.83691493,0.17517620,0.93844410
-9.83558093,0.17517620,0.94149600
-9.83424693,0.17517620,0.94454790
-9.83291293,0.17517620,0.94912560
-9.83157893,0.17517620,0.95217750
-9.83024493,0.17517620,0.95522930
-9.82891093,0.17517620,0.95828120
-9.82757693,0.17517620,0.96285890
-9.82624293,0.17517620,0.96591090
-9.82490893,0.17517620,0.96896270
-9.82357493,0.17517620,0.97354050
-9.82224093,0.17517620,0.97659230
-9.82090693,0.17517620,0.97964410
-9.81957293,0.17517620,0.98422190
-9.81823893,0.17517620,0.98727380
-9.81690493,0.17517620,0.99032570
-9.81557093,0.17517620,0.99337750
-9.81423693,0.17517620,0.99795530
-9.81290293,0.17517620,1.00100700
-9.81156893,0.17517620,1.00405900
-9.81023493,0.17517620,1.00863700
-9.80890093,0.17517620,1.01168900
-9.80756693,0.17517620,1.01474000
-9.80623293,0.17517620,1.01931800
-9.80489893,0.17517620,1.02237000
-9.80356493,0.17517620,1.02542200
-9.80223093,0.17517620,1.03000000
-9.80089693,0.17517620,1.03305100
-9.79956293,0.17517620,1.03610300
-9.79822893,0.17517620,1.03915500
-9.79689493,0.17517620,1.04373300
-9.79556093,0.17517620,1.04678500
-9.79422693,0.17517620,1.04983700
-9.79289293,0.17517620,1.05441500
-9.79155893,0.17517620,1.05746600
-9.79022493,0.17517620,1.06051800
-9.78889093,0.17517620,1.06509600
-9.78755693,0.17517620,1.06814800
-9.78622293,0.17517620,1.01474000
-9.78488893,0.17517620,0.89571830
-9.78355493,0.17517620,0.77669610
-9.78222093,0.17517620,0.65462200
-9.78088693,0.17517620,0.53559980
-9.77955293,0.17517620,0.53865170
-9.77821893,0.17517620,0.54170360
-9.77688493,0.17517620,0.54628130
-9.77555093,0.17517620,0.54933320
-9.77421693,0.17517620,0.55238500
-9.77288293,0.17517620,0.55696280
-9.77154893,0.17517620,0.56001470
-9.77021493,0.17761770,0.56306650
-9.76888093,0.17761770,0.56611840
-9.76754693,0.17761770,0.57069610
-9.76621293,0.17761770,0.57374800
-9.76487893,0.17761770,0.57832570
-9.76354493,0.17761770,0.58290360
-9.76221093,0.17761770,0.58595540
-9.76087693,0.17761770,0.59205910
-9.75954293,0.17761770,0.59511100
-9.75820893,0.17761770,0.59816280
-9.75687493,0.17761770,0.60121460
-9.75554093,0.17761770,0.60579240
-9.75420693,0.18066960,0.60884430
-9.75287293,0.18066960,0.61189610
-9.75153893,0.18066960,0.61799980
-9.75020493,0.18066960,0.62257760
-9.74887093,0.18066960,0.62715540
-9.74753693,0.18066960,0.63020720
-9.74620293,0.18066960,0.63478500
-9.74486893,0.18066960,0.63936280
-9.74353493,0.18066960,0.64241460
-9.74220093,0.18066960,0.64546640
-9.74086692,0.18066960,0.64851830
-9.73953292,0.18066960,0.65462200
-9.73819892,0.18066960,0.65919980
-9.73686492,0.18066960,0.66377760
-9.73553092,0.18066960,0.66682940
-9.73419692,0.18066960,0.66988120
-9.73286292,0.18066960,0.67445900
-9.73152892,0.18066960,0.67903690
-9.73019492,0.18066960,0.68361460
-9.72886092,0.18066960,0.68971840
-9.72752692,0.18066960,0.69277020
-9.72619292,0.18066960,0.69734800
-9.72485892,0.18066960,0.70192580
-9.72352492,0.18066960,0.70650350
-9.72219092,0.18066960,0.70955540
-9.72085692,0.18066960,0.71260720
-9.71952292,0.18066960,0.71718500
-9.71818892,0.18066960,0.72328870
-9.71685492,0.18066960,0.72634050
-9.71552092,0.18066960,0.73244420
-9.71418692,0.18066960,0.73549600
-9.71285292,0.18066960,0.73854800
-9.71151892,0.18066960,0.74159980
-9.71018492,0.18066960,0.74770340
-9.70885092,0.18066960,0.75228120
-9.70751692,0.18066960,0.75838500
