t[s],U_A,U_B
-9.80453558,0.25757620,1.55034000
-9.80320158,0.25757620,1.55644400
-9.80186758,0.25757620,1.56102200
-9.80053358,0.25757620,1.56560000
-9.79919958,0.25757620,1.57017700
-9.79786558,0.25757620,1.57628100
-9.79653158,0.25757620,1.58085900
-9.79519758,0.25757620,1.58543700
-9.79386358,0.25757620,1.59001400
-9.79252958,0.25757620,1.59306600
-9.79119558,0.25757620,1.59611800
-9.78986158,0.25757620,1.60222200
-9.78852758,0.25757620,1.60679900
-9.78719358,0.25910210,1.61290300
-9.78585958,0.25910210,1.61595500
-9.78452558,0.25910210,1.61900700
-9.78319158,0.25910210,1.62053300
-9.78185758,0.25910210,1.62511100
-9.78052358,0.25910210,1.62816200
-9.77918958,0.25910210,1.63426600
-9.77785558,0.25910210,1.63884400
-9.77652158,0.25910210,1.64189600
-9.77518758,0.25910210,1.64800000
-9.77385358,0.25910210,1.65105100
-9.77251958,0.25910210,1.65715500
-9.77118558,0.25910210,1.66173300
-9.76985158,0.25910210,1.66631100
-9.76851758,0.25910210,1.67241400
-9.76718358,0.25910210,1.67699200
-9.76584958,0.25910210,1.68157000
-9.76451558,0.25910210,1.68462200
-9.76318158,0.25910210,1.68767400
-9.76184758,0.25910210,1.69225100
-9.76051358,0.25910210,1.69682900
-9.75917958,0.25910210,1.70140700
-9.75784558,0.25910210,1.70598500
-9.75651158,0.25910210,1.70903700
-9.75517758,0.25910210,1.71514000
-9.75384358,0.25910210,1.71819200
-9.75250958,0.25910210,1.72124400
-9.75117558,0.25910210,1.72734800
-9.74984158,0.25910210,1.73039900
-9.74850758,0.25910210,1.73345100
-9.74717358,0.25910210,1.73650300
-9.74583958,0.25910210,1.73955500
-9.74450558,0.25910210,1.74413300
-9.74317158,0.25910210,1.74718500
-9.74183758,0.25910210,1.75176300
-9.74050358,0.26032290,1.75481400
-9.73916958,0.26184880,1.75786600
-9.73783558,0.26184880,1.76244400
-9.73650157,0.26184880,1.76549600
-9.73516757,0.26184880,1.76854800
-9.73383357,0.26184880,1.77312500
-9.73249957,0.26306950,1.77617700
-9.73116557,0.26459550,1.77922900
-9.72983157,0.26459550,1.78228100
-9.72849757,0.26459550,1.78685900
-9.72716357,0.26459550,1.78991100
-9.72582957,0.26459550,1.79296200
-9.72449557,0.26612140,1.79754000
-9.72316157,0.26612140,1.80059200
-9.72182757,0.26612140,1.80364400
-9.72049357,0.26612140,1.80822200
-9.71915957,0.26612140,1.81127400
-9.71782557,0.26612140,1.81432500
-9.71649157,0.26612140,1.82042900
