t[s],U_A,U_B
-9.75020493,0.26032290,1.34739200
-9.74887093,0.26032290,1.35044400
-9.74753693,0.26032290,1.35502200
-9.74620293,0.26032290,1.35807400
-9.74486893,0.26032290,1.36112600
-9.74353493,0.26032290,1.36417700
-9.74220093,0.26032290,1.36875500
-9.74086692,0.26032290,1.37180700
-9.73953292,0.26032290,1.37485900
-9.73819892,0.26032290,1.37943700
-9.73686492,0.26032290,1.38248800
-9.73553092,0.26184880,1.38554000
-9.73419692,0.26184880,1.39011800
-9.73286292,0.26184880,1.39317000
-9.73152892,0.26184880,1.39622200
-9.73019492,0.26184880,1.39927400
-9.72886092,0.26184880,1.40385200
-9.72752692,0.26184880,1.40690300
-9.72619292,0.26184880,1.40995500
-9.72485892,0.26184880,1.41453300
-9.72352492,0.26306950,1.41758500
-9.72219092,0.26306950,1.42216300
-9.72085692,0.26306950,1.42674000
-9.71952292,0.26306950,1.42979200
-9.71818892,0.26306950,1.43284400
-9.71685492,0.26459550,1.43742200
-9.71552092,0.26459550,1.44047400
-9.71418692,0.26459550,1.44352600
-9.71285292,0.26612140,1.44810300
-9.71151892,0.26734220,1.45115500
-9.71018492,0.26734220,1.45420700
-9.70885092,0.26734220,1.46031100
-9.70751692,0.26734220,1.46488800
-9.70618292,0.26734220,1.46946600
-9.70484892,0.26886810,1.47557000
-9.70351492,0.26886810,1.47862200
-9.70218092,0.26886810,1.48472500
-9.70084692,0.26886810,1.48930300
-9.69951292,0.26886810,1.49540700
-9.69817892,0.26886810,1.49845900
-9.69684492,0.26886810,1.50303700
-9.69551092,0.26886810,1.50761400
-9.69417692,0.26886810,1.51219200
-9.69284292,0.26886810,1.51524400
-9.69150892,0.27039400,1.51982200
-9.69017492,0.27039400,1.52440000
-9.68884092,0.27161470,1.52745100
-9.68750692,0.27161470,1.53202900
-9.68617292,0.27161470,1.53508100
-9.68483892,0.27314070,1.54118500
-9.68350492,0.27314070,1.54423700
-9.68217092,0.27314070,1.54728800
-9.68083692,0.27314070,1.55034000
-9.67950292,0.27466660,1.55644400
-9.67816892,0.27466660,1.55797000
-9.67683492,0.27588730,1.56102200
-9.67550092,0.27741320,1.56712500
-9.67416692,0.27893920,1.57017700
-9.67283292,0.28015990,1.57322900
-9.67149892,0.28168580,1.57780700
-9.67016492,0.28168580,1.58085900
-9.66883092,0.28168580,1.58543700
-9.66749692,0.28321180,1.59154000
-9.66616292,0.28168580,1.59459200
-9.66482892,0.28321180,1.60069600
-9.66349492,0.28443250,1.60527400
-9.66216092,0.28595840,1.60832500
-9.66082692,0.28595840,1.61290300
-9.65949292,0.28748430,1.61748100
-9.65815892,0.28870510,1.62358500
-9.65682492,0.29023100,1.62816200
-9.65549092,0.29175700,1.63426600
-9.65415692,0.29297770,1.63884400
-9.65282292,0.29450360,1.64189600
-9.65148892,0.29602950,1.64647400
-9.65015492,0.29602950,1.64952500
-9.64882092,0.29725030,1.65410300
-9.64748692,0.29877620,1.65868100
-9.64615292,0.30030210,1.66173300
-9.64481892,0.30152290,1.66478500
-9.64348492,0.30304880,1.67088800
-9.64215092,0.30457470,1.67394000
-9.64081692,0.30457470,1.67699200
-9.63948292,0.30579550,1.68157000
-9.63814892,0.30579550,1.68614800
-9.63681492,0.30732140,1.69225100
-9.63548092,0.30854210,1.69682900
-9.63414692,0.31006810,1.70140700
-9.63281292,0.31159400,1.70598500
-9.63147892,0.31159400,1.70903700
-9.63014492,0.31281470,1.71208800
-9.62881092,0.31434070,1.71819200
-9.62747692,0.31434070,1.72124400
-9.62614292,0.31434070,1.72429600
-9.62480892,0.31586660,1.72887300
-9.62347492,0.31708730,1.73192500
-9.62214092,0.31861320,1.73497700
-9.62080692,0.32013920,1.73955500
-9.61947292,0.31861320,1.74413300
-9.61813892,0.32013920,1.74718500
-9.61680492,0.32135990,1.75328800
-9.61547092,0.32288580,1.75786600
-9.61413692,0.32441170,1.76244400
-9.61280292,0.32563250,1.76549600
-9.61146892,0.32715840,1.76854800
-9.61013492,0.32868440,1.77465100
-9.60880092,0.32990510,1.77770300
-9.60746692,0.33143100,1.78075500
-9.60613292,0.33143100,1.78533300
-9.60479892,0.33295690,1.78838500
-9.60346492,0.33295690,1.79143700
-9.60213092,0.33417770,1.79754000
-9.60079692,0.33570360,1.80059200
-9.59946292,0.33570360,1.80517000
-9.59812892,0.33570360,1.80974800
-9.59679492,0.33722950,1.81279900
-9.59546092,0.33845030,1.81737700
-9.59412692,0.33845030,1.82195500
-9.59279292,0.33997620,1.82500700
-9.59145892,0.33997620,1.82805900
-9.59012492,0.33997620,1.83263600
-9.58879092,0.33997620,1.83568800
-9.58745692,0.33997620,1.83874000
-9.58612292,0.33997620,1.84331800
-9.58478892,0.34150210,1.84789600
-9.58345492,0.34272290,1.85094800
-9.58212092,0.34272290,1.85552500
-9.58078692,0.34424880,1.85857700
-9.57945292,0.34424880,1.86315500
-9.57811892,0.34424880,1.86773300
-9.57678492,0.34424880,1.87231100
-9.57545092,0.34577470,1.87841400
-9.57411692,0.34577470,1.88146600
-9.57278292,0.34577470,1.88604400
-9.57144892,0.34577470,1.89214800
-9.57011492,0.34577470,1.89672500
-9.56878092,0.34577470,1.90282900
-9.56744692,0.34577470,1.90588100
-9.56611292,0.34577470,1.91198500
-9.56477892,0.34577470,1.91656200
-9.56344492,0.34577470,1.92114000
-9.56211092,0.34577470,1.92724400
-9.56077692,0.34577470,1.93029600
-9.55944292,0.34577470,1.93639900
-9.55810892,0.34577470,1.94097700
-9.55677492,0.34577470,1.94708100
-9.55544092,0.34699540,1.95013300
-9.55410692,0.34699540,1.95471000
-9.55277292,0.34699540,1.95928800
-9.55143892,0.34699540,1.96386600
-9.55010492,0.34699540,1.96997000
-9.54877092,0.34699540,1.97454800
-9.54743692,0.34699540,1.97912500
-9.54610292,0.34699540,1.98522900
-9.54476892,0.34699540,1.98980700
-9.54343492,0.34699540,1.99438500
-9.54210092,0.34699540,1.99896200
-9.54076692,0.34699540,2.00506600
-9.53943292,0.34699540,2.00811800
-9.53809892,0.34699540,2.01269600
-9.53676492,0.34699540,2.01727300
-9.53543092,0.34699540,2.02185100
-9.53409692,0.34852140,2.02795500
-9.53276292,0.34852140,2.03253300
-9.53142892,0.34852140,2.03558500
-9.53009492,0.34852140,2.04168800
-9.52876092,0.34852140,2.04474000
-9.52742692,0.34852140,2.05084400
-9.52609292,0.34852140,2.05542200
-9.52475892,0.34852140,2.05847400
-9.52342492,0.34852140,2.06457700
-9.52209092,0.34852140,2.06762900
